Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,-9999,age_exact,position,starts,minutes,squad
Brenden Aaronson,MF,us USA,25,1.eng Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5bc43860,25.0,MF,1,76,USA
Thelo Aasgaard,MF,no Norway,24,1.sct Rangers,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,c88a28b9,24.0,MF,1,90,Norway
Mohamed Abdelmonem,DF,eg Egypt,27,1.fr Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bff15d74,27.0,DF,1,14,Egypt
Ali Abdi,DF,tn Tunisia,32,1.fr Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ad7cdb35,32.0,DF,3,269,Tunisia
Saud Abdulhamid,DF,sa Saudi Arabia,26,1.fr Lens,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,caa254e4,26.0,DF,3,269,Saudi Arabia
Abdulla Abdullaev,DF,uz Uzbekistan,28,1.ae Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,03053fbf,28.0,DF,2,180,Uzbekistan
Yusuf Abdurisag,FW,qa Qatar,26,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13c8f40b,26.0,FW,2,98,Qatar
Husam Abu Dahab,DF,jo Jordan,26,1.kw Al-Salmiya SC,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,300aaeb6,26.0,DF,2,178,Jordan
Mohannad Abu Taha,DF,jo Jordan,23,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5c4bac6c,23.0,DF,3,264,Jordan
Mo Abualnadi,DF,jo Jordan,25,1.my Selangor FA,2001,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4bff62e4,25.0,DF,1,71,Jordan
Yazeed Abulaila,GK,jo Jordan,33,1.jo Al-Hussein SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5d11fc17,33.0,GK,3,270,Jordan
Mahmoud Abunada,GK,qa Qatar,26,1.qa Al Rayyan SC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,27e7e545,26.0,GK,3,270,Qatar
Ché Adams,FW,sct Scotland,29,1.it Torino,1996,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f2bf1b0f,29.0,FW,2,145,Scotland
Jayden Adams,MF,za South Africa,25,1.za Sundowns,2001,3,2,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,259affab,25.0,MF,2,116,South Africa
Tyler Adams,MF,us USA,27,1.eng Bournemouth,1999,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2b09d998,27.0,MF,4,341,USA
Ricardo Adé,DF,ht Haiti,36,1.ec LDU Quito,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a9ee5e81,36.0,DF,3,270,Haiti
Jonas Adjetey,DF,gh Ghana,22,1.de Wolfsburg,2003,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bdbf78cd,22.0,DF,3,225,Ghana
Michel Aebischer,MFFW,ch Switzerland,29,1.it Pisa,1997,4,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f9c927de,29.0,MF,2,156,Switzerland
