Goalkeeper,Team,Minutes,90s,Saves,Saves per 90,Progression
Yazeed Abulaila,Jordan,270,3.0,8,2.6666666666666665,Eliminated in group stage
Mahmoud Abunada,Qatar,270,3.0,12,4.0,Eliminated in group stage
Alisson,Brazil,450,5.0,14,2.8,Reached knockout stage
Benjamin Asare,Ghana,225,2.5,8,3.2,Reached knockout stage
Lawrence Ati-Zigi,Ghana,135,1.5,8,5.333333333333333,Reached knockout stage
Ahmed Basil,Iraq,135,1.5,3,2.0,Eliminated in group stage
Patrick Beach,Australia,388,4.3,14,3.255813953488372,Reached knockout stage
Alireza Beiranvand,IR Iran,270,3.0,15,5.0,Eliminated in group stage
Oussama Benbot,Algeria,90,1.0,0,0.0,Reached knockout stage
Yassine Bounou,Morocco,570,6.3,14,2.2222222222222223,Reached knockout stage
Uğurcan Çakır,Türkiye,270,3.0,8,2.6666666666666665,Eliminated in group stage
Mouhib Chamakh,Tunisia,90,1.0,1,1.0,Eliminated in group stage
Diogo Costa,Portugal,450,5.0,19,3.8,Reached knockout stage
Thibaut Courtois,Belgium,550,6.1,14,2.295081967213115,Reached knockout stage
Maxime Crépeau,Canada,450,5.0,6,1.2,Reached knockout stage
Max Crocombe,New Zealand,270,3.0,11,3.6666666666666665,Eliminated in group stage
Aymen Dahmen,Tunisia,180,2.0,5,2.5,Eliminated in group stage
Mory Diaw,Senegal,238,2.6,4,1.5384615384615383,Reached knockout stage
Yahia Fofana,Côte d'Ivoire,360,4.0,9,2.25,Reached knockout stage
Matt Freese,USA,360,4.0,8,2.0,Reached knockout stage
Hernán Galíndez,Ecuador,360,4.0,9,2.25,Reached knockout stage
Orlando Gill,Paraguay,480,5.3,23,4.339622641509434,Reached knockout stage
Angus Gunn,Scotland,270,3.0,8,2.6666666666666665,Eliminated in group stage
Jalal Hassan,Iraq,135,1.5,8,5.333333333333333,Eliminated in group stage
Dean Henderson,England,90,1.0,5,5.0,Reached knockout stage
Gregor Kobel,Switzerland,600,6.7,20,2.9850746268656714,Reached knockout stage
Matej Kovar,Czechia,270,3.0,9,3.0,Eliminated in group stage
Dominik Livaković,Croatia,360,4.0,10,2.5,Reached knockout stage
Mike Maignan,France,720,8.0,12,1.5,Reached knockout stage
Emiliano Martínez,Argentina,810,9.0,20,2.2222222222222223,Reached knockout stage
Édouard Mendy,Senegal,152,1.7,8,4.705882352941177,Reached knockout stage
Orlando Mosquera,Panama,270,3.0,7,2.3333333333333335,Eliminated in group stage
Lionel Mpasi,Congo DR,360,4.0,14,3.5,Reached knockout stage
Fernando Muslera,Uruguay,225,2.5,4,1.6,Eliminated in group stage
Abduvohid Nematov,Uzbekistan,180,2.0,5,2.5,Eliminated in group stage
Manuel Neuer,Germany,390,4.3,5,1.1627906976744187,Reached knockout stage
Kristoffer Nordfeldt,Sweden,180,2.0,3,1.5,Reached knockout stage
Ørjan Nyland,Norway,480,5.3,15,2.8301886792452833,Reached knockout stage
Mohammed Al-Owais,Saudi Arabia,270,3.0,16,5.333333333333333,Eliminated in group stage
Jordan Pickford,England,660,7.3,15,2.0547945205479454,Reached knockout stage
Johny Placide,Haiti,270,3.0,11,3.6666666666666665,Eliminated in group stage
Raúl Rangel,Mexico,437,4.9,8,1.6326530612244896,Reached knockout stage
Eloy Room,Curaçao,270,3.0,20,6.666666666666667,Eliminated in group stage
Alexander Schlager,Austria,360,4.0,13,3.25,Reached knockout stage
Egil Selvik,Norway,90,1.0,5,5.0,Reached knockout stage
Kim Seung-gyu,Korea Republic,270,3.0,9,3.0,Eliminated in group stage
Mostafa Shobeir,Egypt,480,5.3,12,2.2641509433962264,Reached knockout stage
Unai Simón,Spain,750,8.3,9,1.0843373493975903,Reached knockout stage
Zion Suzuki,Japan,360,4.0,12,3.0,Reached knockout stage
Matt Turner,USA,90,1.0,0,0.0,Reached knockout stage
Camilo Vargas,Colombia,480,5.3,6,1.1320754716981132,Reached knockout stage
Nikola Vasilj,Bosnia–Herz,360,4.0,6,1.5,Reached knockout stage
Bart Verbruggen,Netherlands,390,4.3,16,3.7209302325581395,Reached knockout stage
Vozinha,Cabo Verde,390,4.3,18,4.186046511627907,Reached knockout stage
Jacob Widell Zetterström,Sweden,180,2.0,11,5.5,Reached knockout stage
Ronwen Williams,South Africa,360,4.0,11,2.75,Reached knockout stage
Utkir Yusupov,Uzbekistan,90,1.0,1,1.0,Eliminated in group stage
Luca Zidane,Algeria,270,3.0,8,2.6666666666666665,Reached knockout stage
