Team,FBref_Flag_Code,Average_Possession_Percent,Players_Used,Minutes_90s,Squad_As_Displayed,Scope,Source_URL
Algeria,dz,61.0,22,4.0,dz Algeria,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Argentina,ar,57.6,24,9.0,ar Argentina,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Australia,au,41.0,23,4.3,au Australia,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Austria,at,45.0,20,4.0,at Austria,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Belgium,be,51.2,23,6.3,be Belgium,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Bosnia–Herz,ba,46.0,23,4.0,ba Bosnia–Herz,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Brazil,br,53.0,22,5.0,br Brazil,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Cabo Verde,cv,37.3,21,4.3,cv Cabo Verde,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Canada,ca,54.4,22,5.0,ca Canada,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Colombia,co,57.8,21,5.3,co Colombia,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Congo DR,cd,40.0,21,4.0,cd Congo DR,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Croatia,hr,49.8,19,4.0,hr Croatia,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Curaçao,cw,32.3,22,3.0,cw Curaçao,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Czechia,cz,42.7,21,3.0,cz Czechia,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
