Squad_As_Displayed,Average_Possession_Percent,Players_Used,Minutes_90s,Scope,Source_URL
dz Algeria,61.0,22,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ar Argentina,57.6,24,9.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
au Australia,41.0,23,4.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
at Austria,45.0,20,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
be Belgium,51.2,23,6.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ba Bosnia–Herz,46.0,23,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
br Brazil,53.0,22,5.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
cv Cabo Verde,37.3,21,4.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ca Canada,54.4,22,5.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
co Colombia,57.8,21,5.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
cd Congo DR,40.0,21,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ci Côte d'Ivoire,49.8,22,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
hr Croatia,49.8,19,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
cw Curaçao,32.3,22,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
cz Czechia,42.7,21,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ec Ecuador,55.8,21,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
eg Egypt,51.4,21,5.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
eng England,54.1,24,8.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
fr France,55.9,22,8.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
de Germany,65.0,23,4.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
gh Ghana,36.3,22,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ht Haiti,42.7,18,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ir IR Iran,39.0,20,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
iq Iraq,38.3,25,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
